lemma	category	level
marujear	dmc	inclusive
masoquista	qas	conservative
mastuerzo	ddp	inclusive
masturbarse	qas	conservative
matasanos	pa	inclusive
mataulipas	rci	inclusive
mayate	ps	conservative
mayates	ps	conservative
mcmierda	cds	conservative
me cago en dios	qas	conservative
me cago en el mar	qas	conservative
me cago en la leche	qas	conservative
me cago en la mar	qas	conservative
me cago en la puta	qas	conservative
me cago en ti	qas	conservative
me cago en todo	qas	conservative
me cago en tu familia	cds	conservative
me cago en tu puta madre	qas	conservative
me cago en tu puta madre que te parió	qas	conservative
me cago en tus muertos	qas	conservative
me cago en tus vivos	qas	conservative
me la pela	qas	conservative
me la suda	qas	conservative
meadero	qas	conservative
mear	qas	conservative
meco	qas	conservative
mecos	qas	conservative
mejicano	ps	inclusive
mejunje	cds	inclusive
meneársela	qas	conservative
mensa	ddp	inclusive
menso	ddp	inclusive
mequear	qas	conservative
merculo	asm	inclusive
merdoso	qas	conservative
merecer	qas	conservative
mesetario	rci	inclusive
meteco	ps	inclusive
meter mierda	qas	conservative
mexichango	ps	inclusive
meximono	ps	inclusive
michi	qas	conservative
micro$oft	dmc	inclusive
miedica	dmc	inclusive
miedicas	dmc	inclusive
mierda	qas	conservative
mierda de toro	qas	conservative
mierda pinchada en un palo	qas	conservative
mierdas	qas	conservative
mierdero	qas	conservative
mierdificación	qas	conservative
mierdoso	qas	conservative
mil pares de cojones	qas	conservative
milenita	dmc	inclusive
milico	pa	inclusive
milicos	pa	inclusive
milipili	dmc	inclusive
militronche	pa	inclusive
mindundi	is	inclusive
minga	asm	conservative
minusa	ddf	inclusive
mis cojones treinta y tres	qas	conservative
miérdico	cds	inclusive
mocoso	cds	inclusive
modernez	dmc	inclusive
mogólico	ddp	inclusive
mojado	ps	inclusive
mojados	ps	inclusive
mojón	qas	conservative
molesta	qas	conservative
molesto	qas	conservative
monda	qas	conservative
mongolo	ddp	inclusive
mongolos	ddp	inclusive
mongólica	ddp	inclusive
mongólico	ddp	inclusive
mongólicos	ddp	inclusive
monigote	ddp	inclusive
monotema	dmc	inclusive
moridero	cds	inclusive
moro	ps	inclusive
moromierda	ps	conservative
moromierdas	ps	conservative
moros	ps	inclusive
mosorola	asm	conservative
mozcorra	qas	conservative
